Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Languages,EU political ads,Campaign Status,Location,Location ID,Ad Group,Ad Group Status,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
CVFC - Brand,Search,Google search,15,Daily,Maximize conversions,en,Doesn't have EU political ads,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,"San Diego County,California,United States",9057154,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,chula vista fc,Exact,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,chula vista fc,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,chula vista futbol club,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,chula vista fútbol club,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,cvfc soccer,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,chula vista fc soccer,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Name,,,,Responsive search ad,https://www.chulavistafc.com/,,,Official Chula Vista FC Site,Chula Vista FC Programs,Chula Vista FC,A Club for Everyone,The People's Club,Year-Round Player Evaluations,Free Player Evaluations,A Coach Replies in 48 Hours,"Boys and Girls, Ages 4 to U19",South Bay Club Since 1982,Nonprofit Youth Soccer Club,"MLS NEXT, EA, DPL and NPL",Bilingual Coaches and Staff,Request an Evaluation Today,Every Family Is Welcome,Year-round evaluations for boys and girls. Request online and a coach replies in 48 hours.,"A club for everyone, the people's club. Nonprofit and in the South Bay since 1982.","From Mini Maestros to MLS NEXT, Elite Academy, DPL and NPL. One club, one pathway.",New to the area or switching clubs? We evaluate year-round and place every player well.
CVFC - Brand,,,,,,,,,,,Club Name,,,,Responsive search ad,https://www.chulavistafc.com/,,,Chula Vista FC,A Club for Everyone,The People's Club,Year-Round Player Evaluations,Free Player Evaluations,A Coach Replies in 48 Hours,Official Chula Vista FC Site,Chula Vista FC Programs,"Boys and Girls, Ages 4 to U19",South Bay Club Since 1982,Nonprofit Youth Soccer Club,"MLS NEXT, EA, DPL and NPL",Bilingual Coaches and Staff,Request an Evaluation Today,Every Family Is Welcome,"From Mini Maestros to MLS NEXT, Elite Academy, DPL and NPL. One club, one pathway.",New to the area or switching clubs? We evaluate year-round and place every player well.,Year-round evaluations for boys and girls. Request online and a coach replies in 48 hours.,"A club for everyone, the people's club. Nonprofit and in the South Bay since 1982."
CVFC - Brand,,,,,,,,,,,Club Programs,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc mls next,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc academy,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc tryouts,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc evaluations,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc girls,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,chula vista fc registration,Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Brand,,,,,,,,,,,Club Programs,,,,Responsive search ad,https://www.chulavistafc.com/evaluations,Evaluations,,Chula Vista FC Evaluations,Chula Vista FC Programs,Chula Vista FC,A Club for Everyone,The People's Club,Year-Round Player Evaluations,Free Player Evaluations,A Coach Replies in 48 Hours,"Boys and Girls, Ages 4 to U19",South Bay Club Since 1982,Nonprofit Youth Soccer Club,"MLS NEXT, EA, DPL and NPL",Bilingual Coaches and Staff,Request an Evaluation Today,Every Family Is Welcome,Year-round evaluations for boys and girls. Request online and a coach replies in 48 hours.,"A club for everyone, the people's club. Nonprofit and in the South Bay since 1982.","From Mini Maestros to MLS NEXT, Elite Academy, DPL and NPL. One club, one pathway.",New to the area or switching clubs? We evaluate year-round and place every player well.
CVFC - Brand,,,,,,,,,,,Club Programs,,,,Responsive search ad,https://www.chulavistafc.com/evaluations,Evaluations,,Chula Vista FC,A Club for Everyone,The People's Club,Year-Round Player Evaluations,Free Player Evaluations,A Coach Replies in 48 Hours,Chula Vista FC Evaluations,Chula Vista FC Programs,"Boys and Girls, Ages 4 to U19",South Bay Club Since 1982,Nonprofit Youth Soccer Club,"MLS NEXT, EA, DPL and NPL",Bilingual Coaches and Staff,Request an Evaluation Today,Every Family Is Welcome,"From Mini Maestros to MLS NEXT, Elite Academy, DPL and NPL. One club, one pathway.",New to the area or switching clubs? We evaluate year-round and place every player well.,Year-round evaluations for boys and girls. Request online and a coach replies in 48 hours.,"A club for everyone, the people's club. Nonprofit and in the South Bay since 1982."
CVFC - Player Evaluations,Search,Google search,155,Daily,Maximize conversions,en,Doesn't have EU political ads,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,"San Diego County,California,United States",9057154,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,,,,,adult,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,,,,,adults,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,,,,,men's league,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,,,,,mens league,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
CVFC - Player Evaluations,,,,,,,,,,,,,coed,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
