Keyword Stats 2026-09-23 at 13_44_18
"September 1, 2025 - August 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026	Searches: Aug 2026
youth soccer club	USD	500	-90%	0%	Low	3							Y												
club soccer	USD	50	0%	0%	Low	2							Y												
soccer tryouts	USD	50	0%	0%	Low	3							Y												
mls next	USD	5000	900%	0%	Low	0	0.33	1.94					Y												
goalkeeper training	USD	50	0%	0%	Low	23							Y												
travel soccer	USD	50	0%	0%	Low	16							Y												
competitive soccer	USD	50	0%	0%	Low	0							Y												
academy soccer	USD	50	0%	0%	Low	1							Y												
soccer clubs near me	USD	500	0%	0%	Low	6	0.53	11.33																	
soccer teams near me	USD	500	0%	0%	Low	6	0.53	11.33																	
soccer academy near me	USD	50	0%	0%	Low	23	0.43	1.43																	
youth soccer leagues near me	USD	50	0%	0%	Low	29	0.38	2.33																	
soccer leagues near me	USD	50	0%	0%	Low	16	0.35	1.78																	
indoor soccer near me	USD	500	900%	900%	Low	6																			
youth soccer clubs near me	USD	50	0%	0%	Low	12						Y													
soccer clubs	USD	500	0%	0%	Low	3	0.58	3.42																	
youth soccer teams near me	USD	50	0%	0%	Low	12						Y													
club soccer near me	USD	50	0%	0%	Low	11																			
indoor soccer	USD	500	0%	0%	Low	6																			
soccer teams to join near me	USD	50	0%	0%	Unknown																				
little league soccer near me	USD	50	0%	0%	Low	27																			
soccer registration near me	USD	50	0%	0%	Low	26																			
youth soccer programs near me	USD	50	0%	0%	Low	7																			
mls teams	USD	500	0%	0%	Low	0																			
travel soccer teams near me	USD	50	0%	0%	Low	0																			
summer soccer leagues near me	USD	50	-100%	0%	Unknown																				
youth soccer academy near me	USD	50	0%	0%	High	86																			
soccer for 10 year olds near me	USD	50	0%	∞	Low	14																			
soccer teams	USD	500	0%	0%	Low	1																			
soccer tryouts near me	USD	50	0%	0%	Low	16						Y													
youth soccer leagues	USD	500	0%	0%	Low	3																			
soccer teams near me for 13 year olds	USD	50	∞	∞	Low	0																			
sunday league soccer near me	USD	50	0%	0%	Low	13																			
youth soccer league	USD	500	0%	0%	Low	3																			
winter soccer near me	USD	50	0%	0%	Unknown																				
academy soccer near me	USD	50	0%	0%	Low	23	0.43	1.43																	
club soccer teams near me	USD	500	0%	0%	Low	6	0.53	11.33																	
sign up for soccer near me	USD	50	0%	0%	Unknown																				
soccer for youth	USD	50	900%	0%	Low	6	0.48	3.00																	
rec soccer leagues near me	USD	50	0%	0%	Low	21																			
indoor soccer league near me	USD	50	0%	0%	Low	9																			
san diego soccer team	USD	5000	0%	0%	Medium	38	0.18	1.51																	
soccer teams to join	USD	50	0%	∞	Low	14																			
join soccer team near me	USD	50	-100%	0%	Unknown																				
soccer programs for youth near me	USD	50	0%	0%	Low	7																			
dallas soccer team	USD	50	0%	0%	Low	0																			
soccer little league	USD	50	0%	0%	Low	27	0.46	1.82																	
