Keyword Stats 2026-09-23 at 13_51_37
"September 1, 2025 - August 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026	Searches: Aug 2026
youth soccer chula vista	USD	50	0%	0%	Low	16	0.49	2.22				Y													
soccer club san diego	USD	500	0%	0%	Low	5	0.26	1.55				Y													
youth soccer san diego	USD	500	0%	0%	Low	22	0.38	1.53				Y													
soccer	USD	50000	0%	0%	Low	2	0.72	3.19					Y												
otay ranch	USD	5000	0%	-90%	Low	3	0.33	1.45																	
soccer el cajon	USD	50	0%	0%	Low	5																			
soccer clubs near me	USD	500	0%	0%	Low	6	0.53	11.33																	
soccer teams near me	USD	500	0%	0%	Low	6	0.53	11.33																	
youth soccer near me	USD	50	0%	0%	Low	22	0.54	1.77																	
youth soccer leagues near me	USD	50	0%	0%	Low	29	0.38	2.33																	
soccer near me	USD	500	0%	0%	Low	9	0.35	1.66																	
soccer academy near me	USD	50	0%	0%	Low	23	0.43	1.43																	
soccer leagues near me	USD	50	0%	0%	Low	16	0.35	1.78																	
soccer academy	USD	50	0%	0%	Low	8																			
youth soccer	USD	50	900%	0%	Low	6	0.48	3.00																	
youth soccer clubs near me	USD	50	0%	0%	Low	12						Y													
youth soccer teams near me	USD	50	0%	0%	Low	12						Y													
indoor soccer near me	USD	500	900%	900%	Low	6																			
soccer clubs	USD	500	0%	0%	Low	3	0.58	3.42																	
soccer tryouts near me	USD	50	0%	0%	Low	16						Y													
club soccer near me	USD	50	0%	0%	Low	11																			
ayso soccer	USD	500	0%	0%	Low	3	1.27	3.05																	
united soccer	USD	50	0%	0%	Low	13																			
adult soccer leagues near me	USD	50	-90%	0%	Low	26	0.50	3.51																	
indoor soccer	USD	500	0%	0%	Low	6																			
soccer youth near me	USD	50	0%	0%	Low	22	0.54	1.77																	
recreational soccer near me	USD	50	0%	0%	Low	14	0.50	2.02																	
soccer tryouts	USD	50	0%	0%	Low	3							Y												
summer soccer leagues near me	USD	50	-100%	0%	Unknown																				
youth soccer academy near me	USD	50	0%	0%	High	86																			
spring soccer near me	USD	50	0%	∞	Low	0																			
fall soccer near me	USD	50	0%	0%	Low	14																			
youth soccer leagues	USD	500	0%	0%	Low	3																			
soccer teams near me for 13 year olds	USD	50	∞	∞	Low	0																			
rec soccer near me	USD	50	0%	0%	Low	14	0.50	2.02																	
soccer teams	USD	500	0%	0%	Low	1																			
union soccer	USD	50	0%	0%	Low	0																			
ayso soccer near me	USD	50	0%	-90%	Low	8	0.56	20.00																	
sunday league soccer near me	USD	50	0%	0%	Low	13																			
